2020-02-19/15:57:51		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020.xls
2020-02-19/15:57:56		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_120000.xls
2020-02-19/15:58:00		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_120020.xls
2020-02-19/16:07:12		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_12.xls
2020-02-19/16:07:19		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.xls
2020-02-19/16:07:24		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120020.xls
2020-02-19/16:16:47		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2020-02-19/16:16:52		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2020-02-19/16:17:02		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2020-02-19/16:18:13		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2020-02-19/16:18:13		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2020-02-19/16:18:13		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2020-02-19/16:22:30		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2020-02-19/16:22:30		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2020-02-19/16:22:30		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2020-02-19/16:26:11		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2020-02-19/16:26:11		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2020-02-19/16:26:11		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2020-02-19/16:56:41		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2020-02-19/16:56:41		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2020-02-19/16:56:41		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/13:17:54		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/13:17:54		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/13:17:54		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/13:18:04		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/13:18:04		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/13:18:04		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/14:03:47		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/14:03:47		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/14:03:47		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/14:03:48		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/14:03:48		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/14:03:48		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/14:22:48		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/14:22:48		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/14:22:48		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/14:22:50		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/14:22:50		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/14:22:50		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/15:49:07		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/15:49:07		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/15:49:07		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/16:22:04		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/16:22:04		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/16:22:04		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/17:50:21		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/17:50:21		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/17:50:21		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/17:53:12		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/17:53:12		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/17:53:12		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/18:03:31		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/18:03:31		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/18:03:31		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/18:25:09		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/18:25:09		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/18:25:09		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/18:35:36		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/18:35:36		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/18:35:36		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/18:43:06		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/18:43:06		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/18:43:06		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
2025-04-13/18:43:10		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120000.csv
2025-04-13/18:43:10		Valid File name!! File moved to GoodRaw Folder :: cement_strength_08012020_120021.csv
2025-04-13/18:43:10		Invalid File Name!! File moved to Bad Raw Folder :: cement_strength_08012020_1200.csv
